creator_name,userid,comment
Maymo,1880979,I love your video maymo
Steff J,767189,I am well say one thing can I buy one
Feral Pride,2301439,18*
DarkDynastyK9s,1945928,😊😊
Турецкие актеры,1412108,ДЕВУШКА КААНА НЕ ПОНРАВИЛОС МЕНЯ..|..
Brave Wilderness,388062,what be careful
,1673758,хипстърия да си ебе майката хахаха
Robin Seplut,688258,her baby looks just like her! omgsh...so beautiful.
DailyBigCat,1440140,That is so very cute. The wee kittens are having so much fun and are so adorable.
Talking Kitty Cat,1384670,Omg I love ur videos!!! But can u please post more often? Like maybe 1 every week or two?
ANIMALBIOLOGIE,669245,Teenage mutant ninja turtles in a nutshell
AlliesDay98,1230257,flog
Brave Wilderness,1152902,I think the velociraptor limb fossil is the winner. It was tough but I had to choose the velociraptor limb fossil. Please I would love to have that fossil so please give it to me please. Be Brave... Stay Wild...
Gohan The Husky,1165728,The goodest of boys
Brian Barczyk,41761,Call the snake Smiles.
Taylor Nicole Dean,1425211,My cat is named toast after toasted marshmallow
Mạnh CFM,1538045,sắp 100n sub r
Epic Wildlife,925009,There are some pretty dangerous critters lurking about in Australia and Im not talking about the wildlife.
Brian Barczyk,1349142,Snakes are cute!
Creative Pet Keeping,438764,Bananas broken while being on the grass because of the pawffee cup that she got! The cats and Mochi are so cute 😍 May we have a Banana Talking Show episode soon.
Hope For Paws - Official Rescue Channel,88597,That owner is so cures
Brave Wilderness,2195374,Cutest animals sounds fun to watch.
Shehry Vlogs,1246026,Soon emotional
Triple B TV,2076074,Im definitely going look for flying cars on Amazon 😃
Epic Wildlife,1600773,Great video as always! Please do Mythological Monsters & Cryptids from Germany next. 😊
Brave Wilderness,611744,Congrats man ! You finally have the recognition you and the crew deserve ! Best of wishes for 2017
Gohan The Husky,1886744,that husky is so fluffy
Top View Viral,1147642,si les gustan las criaturas mitológicas les recomiendo estas serie que se llama Walking whit dinosaurs: monsters to the sea esta en Netflix y es un  documental super cool y te muestran los animales marinos que vivieron antes que los seres humanos....🐳🐋🐟🐠🐬🐡🐙
Brave Wilderness,252661,Is it just me🤣🤣🤣🤣or was Brad scratching his arms and it looked so cute right!😍😍😍😍😍😍😍3:57hes sooooo cute!
278pikelk,2312202,1 Corinthians 15:1-4
Mạnh CFM,261978,Awm
loneoakgrls,2019576,this video is beautiful ❤ i understand where youre coming from since I lost my first horse 4 months after owning him Ive been to afraid to get on anything else...
ViralBe,1753230,Idiot
Viral Maniacs,1836641,How long did this take?
Gohan The Husky,1412011,Male a great house for gohan
Reef Builders,1436355,splash some water on your face next time you plan on filming so close to a light
Gohan The Husky,754823,First good video bro
The Dodo,876089,Dodo makes me happy 😃
Brave Wilderness,1357167,Oml
Mạnh CFM,2248183,Bài hát đầu
Brian Barczyk,2395942,butterscotch
Brave Wilderness,1481994,RIP Uvogin :(
Gone to the Snow Dogs,2168017,CAN U PLEASE FOLLOW ME ON INSTAGRAM AT _jrich4l plz favorite youtuber plz
Taylor Nicole Dean,935388,Yes I have way more animals then a normal person should have look at zoos there almost always owned by one person so yeah
Curtis Lasane,1298355,I need to start searching different Walmarts because ours does not have any Rosewood products yet
Taylor Nicole Dean,1789659,Name it firefly
The Dodo,1194456,Ive been subscribed to yall for a while now and I must say that this is by far the cutest video ever! That dog looks like a living stuffed animal that shes too cute to be real! Thank you so much for sharing this wonderful story. And its just perfect as Im getting ready to go to bed. Im just sorry I dont have such a cute little cuddler at my shoulder right now...😇👍🏾🙉🙈🙊
RaleighLink14,2300286,I run barrels but i dont kick or whip my horse  and I dont use a bit.
DanceMomsFan43,2134883,omg Kira shut up
SlideShow ForFun,1513201,hes so cute
Brian Barczyk,2344812,You should try to visit Noahs Ark in Georgia!!!! Its a volunteer/donation only ran facility in Georgia!!!
Hope For Paws - Official Rescue Channel,2365725,You make so many dogs lives liveable again! I cant support you enough!
Brave Wilderness,624400,The raptor limb won. The other things were cool too tho
Taylor Nicole Dean,1635949,I think your dog is a ugh hold on I need to think GOT IT IS YOUR DOG A...DOG OMG AM I RIGHT!!!
The Dodo,1517406,thats so cute
Steff J,389847,Get better Junior 💗😇
Brave Wilderness,1118342,What about windsor Ontario there are so much 🐝 and spiders
Hope For Paws - Official Rescue Channel,1964826,siete stati fantastici
Talking Kitty Cat,2117795,Yayyyyyy
MonkeyBoo,1017121,awwww❤
Taylor Nicole Dean,534618,Taylor Im so sorry for your loss and your pain.  I know youve been a loving hedgehog mother.   Im getting a hedgie very soon shes an adult and I know our time is limited to at best a few years.
Приколы с котами,1166585,Милота!!!!😘😘😘😘
Brian Barczyk,1644421,I would have though that Brians animals were part of his family but I guess that they are just business to him :(
The Pet Collective,1665957,2:25 the parakeet must be a very clean bird unlike my lovebird who hates showers
ERB2,1917825,Congrats erb
Brave Wilderness,323759,Jungle was so so cute 😄😄😄
Brave Wilderness,127004,Mel burn?
GOOD BYE,1150268,TTG IS A PEICE OF SHIT
Brave Wilderness,690689,Mines sitting right next to me as Im. Watching
Brave Wilderness,1351295,alone in the forest
Butters,1530434,Butters and Brian would make an amazing kids show on tv
Info Marvel,1079016,ja
GoHerping,81142,Did he mention the hog nose is a rear fanged venomous snake
Talking Kitty Cat,488979,Yes hi I represent the whole Phandom we are everywhere
Brave Wilderness,1165915,I wonder how they wander into the forest and not get lost.
Talking Kitty Cat,538239,Super happy birthday Gibson RIP Gibson
Gohan The Husky,142103,Gohan nose is cute.
Wonder Girl,869968,great driving
The Dodo,461340,Soooo sweet
Rachel Oleary,2515921,I have 6 cories in my aquarium. I love them to death. The cory catfish are one most intelligent fish?
Rachel Oleary,2492241,My live bearers and cherries do that too to me Rachel. Really feels weird but nice.
Keedes channel LIVE,1491286,как она похожа на нашу девочку! назовите Васелисой! нам нашу подкинули. мы взяли. прям копия)
Kamp Kenan,2286778,Very inspiring. As a kid I lived nearby to the Bronx Zoo and spent a LOT of time there.
Brian Barczyk,1489045,im surprised you dont have any Indigo snakes they are here in Texas very beautiful
Info Marvel,2311724,PRIMERO
Brian Barczyk,2024222,great vlog as allways! And I would go for it with another burm!
Taylor Nicole Dean,1249722,Please. Taylor u need to stand up for yourself and get out of the relationship with your boyfriend! He is an idiot!
Brave Wilderness,2012604,You know where it came some your answer poop
Brave Wilderness,1773804,I f###ing love frogs ❤❤❤❤❤❤❤❤
ChewyMinions AJ,1693273,how much is it for one of these? I love it!!
SharonDiary,2221065,Alarics song. </3
Funny Pets,1563080,Love your vids😘👌🏽
stacyvlogs,1808031,Nooo paige😔 I had my pet die... and now whenever my pets have like the slightest little wierd behaviour Ill be worries about it for a whole week. do i know how you feel stacy <3
The Dodo,910695,Why is this me?😂
foxalbiazul,158766,Floof!
Info Marvel,1959050,buen video
Animal Channel,752230,Its sad but funny
Animal Adventure Park,1627980,Watched this live this morning.. awesome. Is there a live feed to be able to watch the baby giraffe grow up?  Congradulations April daddy and Animal Adventures Park and thanks for letting us see this amazing miracle!!  And welcome little one to the world!!! :) :)
Mạnh CFM,1249648,💖💖💖💖💖💖💖💖💗💓💓💕💞💗💗💓💖💖💝💝💝💚💛💛💓💞💗💟💟💕💛💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖💖
Brave Wilderness,1982463,👰😂😂🥜 you look like a homosexual clown
ViralHog,1604856,Worrldstarrr
MonkeyBoo,1450855,Thank You Monkey Boo for brighting my day. I just got out of the Hospital and when I was in the hospital Monkey Boo helped me stay  happy. Luv you Monkey Boo. Thank you for making me smile :) I would luv to win the Cuddle Clone as well!
Brave Wilderness,2527509,I love your videos so much because I love animals just like you!!!!!!!!!!!!!!!!!!!
Brave Wilderness,1583216,I think coyote all of your videos are the best of the best
The Dodo,1727704,Sometimes she gets into trouble knocks over egg. Lol loved that!
The Dodo,1286658,And its actually very rare to have a male calico - there isnt a lot
Brave Wilderness,1016008,when is he going to bitten by a white shark?
Hope For Paws - Official Rescue Channel,443644,I love yoo guys
Happy Tails,138196,SHE HAS A LITERAL SHARK IN HER TANK! 🤩
Brave Wilderness,1536851,this makes me want to play terraria
Kamp Kenan,903804,•••●••• NOT ONLY DO I LOOK UP TOO THIS MAN BUT HES ALSO SORT OF LIKE MY IDOL!!!• I HOPE THAT ONE DAY ILL EVER BE LUCKY ENOUGH TO GROW UP TOO BE HALF THE HUMBLE KIND & GENUINELY SOULED MAN THAT YOU ARE TODAY!!《☆》--> YOU TRULY ARE MY HERO KENNAN AS IM SURE THIS IS TRUE AS WELL TOO SOO MANNY OTHER PEOPLE!!!•THERE IS NOOO DOUBT ABOUT THAT BROTHA MANN!!! -HAHAH{Kennan is TRULLY THEE•APOITAMY too ALL MAN KIND!}#KeepUpTheSolidEffortAndYourTrueLoveCarePassionForAllAnimalsEspeciallyReptiles!!   ;)    #1LoveFromCinCinnatiOhio
MonkeyBoo,182633,Are going to give him away cus Ill take him
Канал о мире необычного и интересного,750952,милые животные
Brave Wilderness,2005832,Botox is going out of business
MonkeyBoo,275851,Can i have a shoutout i sub im a big fan
Mr. Max T.V.,1452437,I imagine its always an honour when Max climbs the chair just to poop.
The Dodo,566933,My dog had 22*
Ginger Kitties Four,1325569,I dont believe 5 dislikes for this video....???
Brave Wilderness,1566156,Well you may have hurt yourself but THE BEES THAT STUNG YOU ARE NOW DEAD
Brave Wilderness,1588435,I love this channel because I helps me learn about different types of animal species and its very excited also if I get the backpack I could be like coyote and travel around the world. BE BRAVE AND   STAY WILD!!!!
eMusic Talent,2399701,Swag
Brave Wilderness,1546249,If you watch to the end the camera mans do it XD
The Dodo,354802,BOSCO IS SO CUTE
TobyTurner,1639607,To me is good too Austin 😄
Brave Wilderness,1444587,Does anybody else notice the hidden leaf village symbol on his shirt?
,1988566,Nice Video :)
The Dodo,162280,Ugh my heart. This is to cute
Vet Ranch,723490,Awww....hes so adorable! Especially when you hold him like a baby! Now I need to something to mop up my heart that just melted all over the place.❤️❤️❤️
American Eagle Foundation,1654770,Back in the bowl! Oops Ma and Pa need to dig the bowl a bit deeper!
ViralHog,88876,well... from 0:09-0:11it sounds kinda... you know....
Taylor Nicole Dean,2072990,My best friend (which I will not say her name) she bought 6 Hermit Crabs she gave them the wrong food and the wrong environment (So they were bound to die eventually)She went to a store and bought 6 hermit crabs!!! She did all the things you said tap waterno humiditynot 6 inches of earth/sand she had a 3 gallon tank/Cage for 6 of them!One by one they died! Thanks for reading this long message about my experience seeing Hermit Crabs!
Brave Wilderness,1499717,Dat raptor limb bone I think should win
The Truth in Story,1610839,What a cute little deck. Thanks for sharing and thank you for your thoughts and time you give to your live chat always appreciated. X
honeysada,2164117,여기 살고싶다~~♡
The Dodo,164842,https://youtu.be/lPg_U0g1nK8
Keedes channel LIVE,1597671,ненадо не кому адавать
Mạnh CFM,1137999,thanh niên ăn cắp lời của tiền hhaha ghe ông tiền bình luận học theo hhaha 😂😂hài vc chứ m lm cc bình luận dc thanh niên nảo choz học cx ko giống hài 😂😂 học lại đi mạnh oi bình luận học của tiền vc lm hhaha vcl thanh niên 😂😂😂
Brave Wilderness,136409,the statue is the best
Viktor Larkhill,981828,Ima find the b*tch that did this and torture them to death
TobyTurner,1569951,Do you still live in your Los Angelos house? Btw I love you Toby (btw we have the same name😝💚💚💚)
Cole & Marmalade,1522406,Pussy
Gone to the Snow Dogs,1659853,FRIDAY 13! HOW ARE WE NOT DEAD xD luv you guys
Brave Wilderness,1786423,Them jellyfish died bih 😂
Brave Wilderness,1274988,I actually hate you
ViralBe,1050666,And where is the MALINOIS???
Live2Thrill,2231985,For the exhaust: Flow master     NO. 40 elite series
The Dodo,769822,To sponsor the ongoing care of these animals in their new home you can support the Wild Animal Sanctuary: http://thedo.do/was.
CatAleah,2524789,How do you remember all their names?!
101rabbits,68034,Sterling is just like my rabbit Fluer  exsept Fluer is more active and a girl . I also have a grumpy lop ear called Bell that only likes hugs
Brave Wilderness,1138790,Best photographer
Hope For Paws - Official Rescue Channel,1283923,I love you people so much
Greenfield Puppies,2321045,How much
BullyAffiliated,1818503,Well deserved your dogs are legit.  You do great work bro keep it going.
The Dodo,1456031,LOOK AT THAT LITTLE FIGHTER
Taylor Nicole Dean,1277755,I love your channel so much....you look after your pets like no other person: with care. your the nicest to your fans and I wish I could meet you one day :) your the best and your so pretty! Rock on (:
stacyvlogs,2101055,I have a 12 yr old dog a golden retriver
꼬부기아빠 My Pet Diary,1126876,데구르르르르르르르 퍽! 데구르르르르르르르르르 끼익! 엇쵸비 살에 꼇넼ㅋㅋㅋㅋㅋ
Taylor Nicole Dean,1416281,these people make me so angry!
Kitten Academy,1637046,Didnt know Loganbunny Acro and Maggie were fisherkittens :3
Rachel Oleary,1603804,what species of corys are those at 7:05?
TobyTurner,1205308,Hi
Ginger Kitties Four,1504834,are female ginger cats rare.
Criss Karver,1670335,My mom really wants a rainbow boa. Shes already got a red tail so we know their strength. 😅
Paws Channel,1450994,Damn even dogs chase women
Robin Seplut,453314,Seriously  this guy must be due a lottery win for all the good karma he is owed. I am sure if there was a cat lotto they would let him win it. Maybe then Robin would help the local cats of Hawaii or something. As long as the prizes where not paid in Tuna
MonkeyBoo,2339522,Lets go for the 1 million subscribers 🐵😍
Хоккей Болельщик,993442,https://www.imyz.me/Artist/41266/Brand-X-Music/Page2Хоккеист это не спам. это тебе музыка на фон.))
Brave Wilderness,617858,My name is Taylen Trahan and im eleven years old. I love youre channel and ive been watching sense as long as i can remember i live in Louisiana and i love catching animals and it would mean the world to me to win this because i always go hiking with my dad and you really motivate me to get off my butt and catch gekkos. and i just love your channel stay brave be wild!
PugPibbleHedgie,62000,Haha! I loved the vlog good job! I actually thought that store looked like it was Walmart. They must be very similar - we don’t have a Meyer here.
Hope For Paws - Official Rescue Channel,2371583,I love you so much for what you do.  Thanks for bringing this boy home.
Brian Barczyk,1582248,What a good work you do for these animals brian
Loki the Red Fox,2278951,*fluffy forest doggo gets bamboozled with special treat*
RukatheBlackfish,255536,when will Orca Encounter be shown in Orlando?
Hope For Paws - Official Rescue Channel,1511445,I’m crying ;(
Brave Wilderness,1608351,This guy should have 20 mil he is doing this just to show hs
Talking Kitty Cat,2276378,Happy Birthday Gibbyson! :D
klusmanp,1643731,Well this pissed me off I had a horrible day today and was looking through my sub stuff and saw this and was like yay a video to cheer me up..... Nope even more upset than before
Brave Wilderness,1377852,This how  kid you become a spiderman😁😁
Taylor Nicole Dean,1553037,2:30 I cant help to think that when you were grabbing pheonix it looked a bit aggressive :<
Gone to the Snow Dogs,1694968,4 years
LadyLibertyStacker,233138,Your the one that got the plane Nice!!! Luv the design of the Kooks.
pastorbobncc,1714843,The precession of the equinoxes takes 72 years to complete one degree but each section of the precession has a constellation for that age. Now we are entering the dawning of the age of Aquarius. The fascinating thing about this is it takes 25920 years to make a complete revolution but ancient writings on structures have displayed the builders knowledge of these facts! This information can cause one to loose their religion.
Brian Barczyk,1369004,get a green asian leaf vine snake MILD VENOMOUS 1 bite=a bee sting×3 i guess
meow meow,1305107,Pussy was acting like a pussy because pussy was offering pussy! 😂
StormyRabbits,1345867,thank you for teaching me about rabbits and im getting one and two days😀😀🐇
The Dodo,1565854,1st one 😬😰2nd one ☹️😪3rd one 🤭😭
Gone to the Snow Dogs,2433814,Happy Birthday Shilo Ive been watching 2010
Cole & Marmalade,331414,WWWAAAAAAAAAYYY too much time on our hands.  But funny.
Brave Wilderness,307388,congratulations 👏
Snake Channel,733676,Poor snake!
SlideShow ForFun,2299054,Storms and tents do not go well together. I went to my first circus ever and a storm broke out. Half of the tent fell down and everyone just started running. It was horrible I had a huge panic attack and couldnt find where friends were. I was 12 and have never been to a circus since then. Not because Im scared but there havent been any around lmao.
Steff J,1968937,your hair looks so fluffy and springy (?)  i love it!
Menthol Kratom,1746830,We know were awesome! Thanks 😉 Watch out for them catfish. Run the other way from Sarah We have a friend on Tinder that just went through this. Talked to her for 2 days & she tells him Im your girlfriend now RUN RUN AWAY! LOL Have a great day Menthol 😁
Keedes channel LIVE,2519594,кто ставит дизлайки?
Loki the Red Fox,1835916,I wish you and your loved ones and everyone in the path of the storm safety and all the best.
Amber Dawn Lee,1010867,yepwhy mens dont have the periodbut only girls do thats a tough questionLOL
prehistoricpetstv,1345380,laggy
Cole & Marmalade,1764653,I dont know where you guys live but there are a few shelters in my area that can probably take a few cats. I live in Massachusetts and I rescued 4 cats from a no kill shelter called Bay-path.
Rachel Oleary,674469,I can never get bored of watching you pack fish!!! I don’t know why but it’s so entertaining!!
Brian Barczyk,1305538,Im new to your channel and I think its awesome how you handle snakes. I love seeing how you feed them I also love how your always putting a smile on my face. I hit the notification bell!!
Max and Katie the Great Danes,1266311,Its good yal treat your pets so well. Enjoy your videos😁😎
Kitten Academy,1404904,Smoky is just wonderful.
Brave Wilderness,894349,best episode ever
Brave Wilderness,1629392,do a orca video
Brave Wilderness,229191,mlg 😎😂
bodhispeak,158087,Every inch of the moon has not been explored. Only 12 people have supposedly walked on the moon and there is NO WAY they could have explored the whole thing. Also the US is the only country that has been to the moon. Why? I guess all other countries just gave up trying huh? Yeah right. Thats like Sir Edmund Hillary and Tenzing Norgay reaching the summit of Everest and everyone else says Oh well. Theres no need for anyone else to go now. What a crock of s***.
Brave Wilderness,2091139,Name him...Poseiden because he lives in the water and isnt a god of thunder
Gâu Gâu TV,1269501,What the fuck it that
MaxluvsMya,2371518,Love those blankets.
Keedes channel LIVE,1118202,А. Колько гаффи лет???????
Akvaryumcum,932880,Çok güzel
Brave Wilderness,257611,So y’all just carry around a white table?
Taylor Nicole Dean,960166,Echo and cheese are my favourites
Epic Wildlife,1847813,Wow you title it with one thing then you try to dump a bunch of unrelated crap on before it. Ill be sure to dodge this channel in the future.
GlobalVisionBC,1392347,beautiful service!! Praise The Lord!!!!!!!!
Grupero Pegassero Inmortal,947526,👍👍bonita canción con el ex liberaciónsaludos👌👌👌🎵🎵🎧🎧🎧
Brave Wilderness,2220513,only LEGEND while can like this!👿
Kreeds World,1678269,rip ;-(
Brave Wilderness,2167615,uuuuuuuuuuu rrrrrrrrrrrrrrr trrrrreeeeeeennnnnndddddddiiiiiinnnngggggggg!!!!!!!!!!
Brian Barczyk,148644,Hey Brian from Miami
The Dodo,476994,Fucking kill self
TobyTurner,804963,T H I S I S T H E Q U A L I T Y C O N T E N T I S U B B E D F O R
Moobulated,463100,there is no time in a match where genji doesnt need healing
The Dodo,1060153,No home is like Moms embrace.
Gohan The Husky,1815571,Gohan is AMAZING!!! 😍😍
The Dodo,431713,I very scary of spiders!I hate it!😱💀
Kay Cclips,1075365,cool video you can still scam with this add the person on skype and do that hover over the blank one and show them there are 2 of the same items tell them to send you a (for example) black long they think your going to give them like 4 black longs easy lol DONT DO THIS XD
Rachel Oleary,45018,Hey Rachel weird question here but I recently stocked a new 15 gallon tank with 4 dwarf gouramis 2 longfin rams 2 corys and a bristlenose pleco. Noticed some aggression between the gouramis and rams during the first 2 days but they have seemed to mellowed out a bit now. Just wanted your input on whether or not these fish are all completely safe to keep together or if I need to halve their numbers into a new tank. Dont want to see any of them die theyre all gorgeous!Album of Tank & Fish : http://imgur.com/a/R4ib1
Dogumentary TV,2141827,Skaffa INTE renrasig hund om du är djurvän.Verkligen!Its Swedish if any wanna google
Hope For Paws - Official Rescue Channel,597835,Poor girl hope she’ll be 3rd time lucky with her new family.. Why did the people agree to take her in and then just dumped her like that?! Makes me so angry!!!!!!!
Vet Ranch,505891,What was the point of making this video
Mạnh CFM,1767877,Chị này hát nhép anh ạ
Talking Kitty Cat,1787684,Whose Todd?
Life With Horses TV,2513609,This is awesome! Im new to Arabians and just bought and bred my first Arabian mare this year and expecting my first baby next year! So your vlogs centered around them are awesome! Keep them coming!! Also Could you do a video over the facial clipping for arabians for showing please?
Brave Wilderness,2113933,The correct terminology is translucent
Brave Wilderness,1387885,Anthony seems like a guy that is really truly happy and enjoys his job
Paws Channel,2148662,serves the twat right bet he wont do that again
Paws Channel,41698,They are better than guns I love do
Robin Seplut,21485,Kitten: go away!! Go away human!!Robin:* pets kitten*Kitten: ok we might be friends .. JUST  a bitRobin : feeds kittenKitten: ohh my best friend hows life
Dolph C. Volker,1588956,Sorry but now I know its the front legs so is she grooming all along each leg or just in a certain place?
Epic Wildlife,2092465,shark!
Brave Wilderness,888254,Im exited the vegtibals Im a veggitairian
Brave Wilderness,2168695,Coyote your the bravest human and the bravest Youtuber
Robin Seplut,506979,Abandoned? she was probably killed.
Brave Wilderness,1626865,100 comment 1921 view 240 like
Grupero Pegassero Inmortal,572526,eso chingao q música saludos 👍
Cole & Marmalade,27071,jajajajaja... beautiful !!!!
Top View Viral,2094503,La miniatura no es una cabra. Se ven cuatro patas porque son dos aves hay una atras su rostro oculto detras de la primera. Su nombre taxonomico es Ornitus Caprii Mentiriensis.
The Dodo,1088053,God bless you both... U both r dng great job...
Brave Wilderness,2314403,Water+honey+lemon=☺️
Brave Wilderness,294616,warrior wasp pls
World Animal Awareness Society,1536694,Beautiful puppy should be a Instagram dog 😂😂
Cincinnati Zoo & Botanical Garden,2229520,Awesome someone wrote her a song! Happy 6 months Fiona
Cole & Marmalade,1257777,Oh my gosh this is freaking priceless!!!I cant believe your furdad is saying that your too heavy Marm. (ha ha ha)Very creative Chris!!!! (two thumbs up)Cory
Brave Wilderness,1294560,LOL Coyote did the Anna door knock from frozen
CatAleah,2485988,Then this is my other Gecko 🦎 *lick* *lick*
Brian Barczyk,484910,Dude these Dumerils are sick. I love Dumeril. I have a female DB myself...She is amazing. Going to be a beast. she s a little over a year already 4ft and over 1000g.
Info Marvel,1951516,Pz ya que aún que no ganaréParticipó
nywolforg,1453230,<3
Loki the Red Fox,1472455,Is he never outside?
The Dodo,1521929,Aye aye aye so cute
Keedes channel LIVE,2421001,мне   их    жалко
Kamp Kenan,1764538,You called her a Burmese python
The Dodo,407740,Yea!!!!💜
askcliffe,296451,NEW EPISODE YAY!!!!!
ViralHog,2029957,Wow wtf
Taylor Nicole Dean,73186,I love your videos. Me and my brother recently got two ball pythons who are both about a year old. We got them because our dog died over this past year and it was really sad and lonely. But having these ball pythons has been amazing because just learning their personalities and their prefrences.
꼬부기아빠 My Pet Diary,1927533,오호 큰거울에도 정말로 반응안하네요 ㅎㅎ저번 유튜브댓글로 질문으로 여쭤봤는데답변주셨던데요.정말로 큰거울에도 반응이 없네요.신경을 안쓰는 타입인가보군요.
Taylor Nicole Dean,62387,Hello
Viral Maniacs,829109,Wow
ERB2,1140970,Season 6 please there is a hole in my heart that only rapping historical figures can fill!
Brian Barczyk,2510522,Video played fine but the audio was sooooo out of sync.
Brave Wilderness,166910,Omg creepyscaryyucky EW
Hope For Paws - Official Rescue Channel,2123365,Awww this video is so heartwarming you guys are so great!❤️❤️❤️❤️❤️
MonkeyBoo,537245,Kids spinning a fidget spinner is cringe a monkey doing it is the best thing ever
Hope For Paws - Official Rescue Channel,1803000,Really good way to get bit.
southernexposure123,2480182,Merry Christmas
The Dodo,591501,😍😍😍😍😍😍
drthik1,1229965,He sure is amazingly beautiful! I would love to have one of the giants one day. Its a pipe dream of mine. To be honest my 6 yr old Blood Pythoncan be much to handle sometimes when shes in a fidgety mood so I doubt I could ever handle one of these.
Grupero Pegassero Inmortal,797741,Gilberto garcias 💕♨️hoy se cumplen 3 meses no resibo. notificaciones tuyas ni  he sabido más de tu existir  con  tan  excelente canal desconozco los motivos 12 mayo 2017 12junio 2017 12julio 2017 12 agosto 2017 12 Sep.  2017 Y siempre te apollare aún sin saber dé tu existir seguiremos en contacto a la orden esa era tu lema       lo recuerdas té deceo todo lo mejor de este mundo y mucha suerte Amigo inmortal    140    AM  ❤  12 8 17
Brian Barczyk,1033791,did u see it peaing lol
Shehry Vlogs,508044,nice game by the way
Brave Wilderness,1851119,THIS WAS THE MOST BORING BRAVE WILDERNESS VIDEO I HAVE SEEN IN MY LIFE!!
Brave Wilderness,1891368,Im coyote Peterson and Im about to go into the spike zone with the lion guard😂😂😂😂
Solid Gold Aquatics,1726804,Im so sorry to hear about Sophie 😢 Swim in peace
Cole & Marmalade,1264458,early bird :)
Brave Wilderness,559344,This guy has the biggest pair of balls on this earth
Brave Wilderness,2063566,it could be a sasquatch. LOL
Brave Wilderness,1924350,Can you handle a stonefish?
꼬부기아빠 My Pet Diary,400699,미식냥 꼬부기가 잘 먹어줘서 다행이네요^^역시 치킨의 힘은 대단해!
Fun With Animals,648260,3:05 its not funny....:/
World Animal Awareness Society,1685098,Is it known who did this? Is it possible to prosecute?
Brave Wilderness,734501,Ted Bear 3 is looking good :D
Robin Seplut,749786,Hello!
Amethyst Is Cutie,2211817,Can you please give me a shotout?
Taylor Nicole Dean,2520239,Taylor i like animals too! Sometimes i feel like being an animal for a day.
Menthol Kratom,814845,chilling great video buddy 😎
Viktor Larkhill,653980,im glad you didnt let that happen he doesnt deserve to be put down he was probably a loyal & faithful dog. Its amazing to me that people just throw away animals like they are garbage when they deserve so much better from us. Thank you for helping him & thank you for helping all the K9s & felines that you have. God bless you all who help w/them & their recovery & finding a home for them where they will be treated w/respect & dignity they deserve.
Taylor Nicole Dean,257283,EUW SPIDER 😭
Vet Ranch,2185312,Why did people complane about the surgery if u don’t wanna see it don’t whatch the video
Cockatoo Luck,1609282,Чудо какое 💕💕💕💕💕💕💕💕💕
꼬부기아빠 My Pet Diary,1979267,꼬비는 입맛이 까다롭군요ㅠ
Alison Tarakanovskaya,1653700,8класс 307 СПБ) Тоже хочу стать ветеренаром
Brave Wilderness,441477,Coyote vs bear grylls
MariLynn Moore,2241759,very good video as usual
Cole & Marmalade,1133281,I love your channel and your cats are awesome.
Hope For Paws - Official Rescue Channel,939843,love you guys
Top 10 COMPILATION,64439,i prefer orginal breed as kangal or akbas but some mixed breed as rott doberman are successfull
Taylor Nicole Dean,2471233,My brother somewhat shut the cage with him getting into it but the tail fell off and my dad was like his tail will grow back.4 years later- Still doesnt have a tail and now watching this vid😂😂😂 my gecko is 12 years old
Knowledge Feed,1309754,gf
MARLENE MCCOHEN,1333069,Just an FYI Galah Cockatoo is inaccurate. They are simply called a Galah. Yes they are a member of the cockatoo family but so are cockatiels. Calling this bird a Galah Cockatoo is the same as if you were going around calling cockatiels Cockatiel Cockatoos. Galahs are also known as Rose-Breasted Cockatoos so perhaps there was some confusion between the two common names for them.That being said all your parrots are lovely and I enjoy watching them. Keep up the great work.
Valentyna iVLENTY,1576905,тайки и симайки живут до 25 лет.....я прошла это одиночество.....рак молочных желез........тошно и одиноко.
Brave Wilderness,1570581,he shaved his beerd get it
Talking Kitty Cat,2343756,P
Mạnh CFM,138748,làm nữa đi anh
The Dodo,2152843,BRAVA......
Big Cat Rescue,645147,Not the kinda cougar Im looking for!
Brave Wilderness,2472862,Australia the drop bear 🐻 or red back or Sydney funnel web just have some anti venom with you
ViralBe,1537759,waow
꼬부기아빠 My Pet Diary,1872561,남집사님 네일 너무 귀엽잖아요 ㅋㅋㅋㅋㅋㅋ
Gotcha The Cockatoo,1179211,What the heck
,1591729,chidos
Aquarium Co-Op,323036,Liked and shared! Been subscribed since you only had a couple of thousand subscribers and enjoyed the journey!
Hope For Paws - Official Rescue Channel,521579,:-)
Exploring Alabama,1569613,inner city creek in Alabama?
viralvids,192510,Those arent tears my eyes just took a swim
Brave Wilderness,410781,I heard that Horse shoe crabs have blue blood Is that true
The Dodo,2185591,Im eating watermelon rn xD
꼬부기아빠 My Pet Diary,868396,헐...갖고시프댭..
The Dodo,597091,Slit the cows throat send him to McDonalds😊😊
Keedes channel LIVE,1467368,Оставьте её пж!!!!Мне её жалко!!!
The Dodo,94491,Wonderful that people took the time to save them.
Gnat Vova,1619866,Excellent video my dear friend! Good job !!
Brave Wilderness,371841,God u know hes so afraid you know a dog once barked at me 😂
Steve Poland Aquatics,98632,This got me motivated to go to an aquarium theme park.Havent been to one since summer 2009.
Brian Barczyk,192828,I think you should call her name should be bitty bit
